recipename,labels,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob
million dollar spaghetti,4,0.649230769,1.2,0.45333333299999995,0.30041666699999997,0.134285714,0.10266666699999999,0.096,0.568,0.19047619,0.2728,0.016666667,0.275,0.166666667,0.0,0.6,0.0,0.12,0.2275,617,-11.51064103,4.167290608,0.844248345
mimis eggplant casserole,4,0.281538462,0.5,0.296666667,0.24916666699999998,0.06485714299999999,0.047333333,0.10400000000000001,0.188,0.095238095,0.1076,0.016666667,0.134,0.055555556,0.0,0.1,0.0,0.05,0.06,255,-5.566141288,4.52228427,0.520008389
mimis slumgullion,4,0.744615385,0.9,0.27,0.51625,0.298285714,0.149,0.248,0.386,0.19047619,0.0452,1.533333333,0.039,0.111111111,0.0,0.2,0.5,0.145,0.1125,693,-11.72177448,4.250126798999999,0.998080255
mimis zucchini pie,4,0.190769231,0.15,0.316666667,0.166666667,0.066857143,0.042,0.044000000000000004,0.12,0.063492063,0.0822,0.18333333300000001,0.10800000000000001,0.055555556,0.0,0.1,0.0,0.0375,0.0725,182,-2.238171703,4.271171401,0.944271654
minced beef with black eyed beans,8,0.415384615,0.15,0.0,0.39625,0.128,0.058666667,0.172,0.324,0.031746032,0.0718,0.166666667,0.042,0.166666667,0.0,0.3,0.0,0.115,0.1675,372,-2.7433461510000003,4.020227235,0.9680436259999999
mini cobb salad with avocado dressing,3,0.52,0.45,0.8833333329999999,0.286666667,0.272857143,0.039,0.23600000000000002,0.6579999999999999,0.126984127,0.6986,0.46666666700000003,0.18100000000000002,0.222222222,0.0,0.7,0.5,0.1775,0.4275,474,-3.770385368,4.309045596,0.997110187
mini frittatas with quinoa,4,0.161538462,0.25,0.286666667,0.10666666699999999,0.04571428599999999,0.051666667,0.084,0.28,0.031746032,0.098,0.18333333300000001,0.18,0.055555556,0.0,0.15,0.0,0.045,0.0475,213,-1.5977509069999998,4.370860312,0.9496337140000001
mini meatloaves,4,0.221538462,0.35,0.246666667,0.273333333,0.070857143,0.055333333,0.024,0.302,0.380952381,0.0804,0.05,0.149,0.111111111,0.0,0.25,0.0,0.0625,0.035,255,-3.8782433189999996,4.311351993,0.52420971
mini pizza dillas,4,0.612307692,0.75,0.32,0.848333333,0.08714285699999999,0.17300000000000001,0.11199999999999999,0.662,0.34920634899999997,0.0834,0.016666667,0.461,0.055555556,0.0,0.45,0.0,0.0775,0.03,731,-10.89663779,4.0830097919999995,0.936803616
mint chicken,4,0.35846153799999997,0.2,0.11333333300000001,0.12583333300000002,0.059142857,0.046333333,0.02,0.314,0.031746032,0.21,0.166666667,0.026000000000000002,0.055555556,0.0,0.55,0.0,0.055,0.0925,328,-1.6160788000000001,4.3717528869999995,0.9773275459999999
miso and soy chilean sea bass,4,0.056923077,0.05,0.15666666699999998,0.672083333,0.11228571400000001,0.09300000000000001,0.055999999999999994,0.494,0.6984126979999999,0.0478,0.016666667,0.042,0.055555556,0.0,0.35,0.0,0.1625,0.0325,287,-2.4531593640000002,4.163619241,0.995563909
miso glazed black cod,4,0.029230769,0.0,0.24,0.3525,0.228571429,0.069666667,0.012,0.746,0.507936508,0.0098,0.083333333,0.021,0.055555556,0.0,0.5,0.5,0.12,0.03,290,1.759711909,4.502094049,0.9976369970000001
mississippi roast slow cooker pepperoncini pot roast,0,0.604615385,0.85,0.5033333329999999,0.61625,0.100285714,0.019333333,0.008,0.73,0.0,0.067,0.0,0.027000000000000003,0.222222222,0.0,0.55,0.0,0.0625,0.03,537,-8.628167292999999,4.18604804,0.993174378
mixture for meatballs meatloaf or burgers,4,0.470769231,0.65,0.5166666670000001,0.167916667,0.09257142900000001,0.028999999999999998,0.02,0.442,0.063492063,0.0448,0.033333333,0.10800000000000001,0.166666667,0.0,0.5,0.0,0.0675,0.075,403,-5.634443557000001,4.16629161,0.7680109420000001
mock chicken,6,0.113846154,0.05,0.0,0.005,0.057714286,0.012,0.08,0.268,0.0,0.0282,0.0,0.5820000000000001,0.111111111,0.0,0.2,0.0,0.1225,0.0625,124,1.548758817,4.453065946000001,0.996186285
mock filets,4,0.41384615399999997,0.5,0.42666666700000005,0.502083333,0.100571429,0.066,0.027999999999999997,0.402,0.317460317,0.0556,0.05,0.05,0.166666667,0.0,0.45,0.0,0.065,0.075,404,-6.863467527999999,4.298963898,0.876199983
mock lobster,4,0.187692308,0.1,0.223333333,0.651666667,0.082571429,0.024,0.012,0.524,0.158730159,0.0038,0.033333333,0.023,0.055555556,0.0,0.8,0.5,0.09,0.025,247,-2.129629811,4.072350328,0.943492945
modenese pork chops,9,0.295384615,0.5,0.29333333300000003,0.290833333,0.103428571,0.005,0.004,0.46399999999999997,0.0,0.073,0.016666667,0.03,0.055555556,0.666666667,0.45,0.0,0.0475,0.005,297,-3.86024974,4.416126239,0.996338666
moist garlic chicken,4,0.393846154,0.75,0.40666666700000004,0.519166667,0.054285714000000006,0.005,0.02,0.474,0.0,0.1618,0.016666667,0.046,0.055555556,0.0,0.55,0.0,0.065,0.0175,332,-7.761274684,4.197680721,0.945007822
moist spicy turkey burgers,4,0.155384615,0.15,0.41666666700000005,0.294583333,0.115428571,0.047666667,0.055999999999999994,0.512,0.126984127,0.031,0.1,0.065,0.166666667,0.0,0.45,0.0,0.08,0.08,260,-0.69242328,4.283251121,0.527029885
mojo roast chicken pollo asado,4,0.612307692,0.45,0.48666666700000005,0.20875,0.125428571,0.006666666999999999,0.008,0.924,0.031746032,0.037000000000000005,0.083333333,0.033,0.166666667,0.0,0.7,0.5,0.105,0.03,562,-1.4820298930000002,4.357646431,0.710961271
molasses baked chicken,6,0.263076923,0.25,0.323333333,0.25375,0.10771428599999999,0.022000000000000002,0.012,0.614,0.126984127,0.0216,0.0,0.035,0.111111111,0.0,0.5,0.0,0.1075,0.015,312,-0.760517775,4.190680996,0.8048464479999999
molasses beef curry,8,0.421538462,0.5,0.33,0.132916667,0.420285714,0.188,0.292,0.782,0.317460317,1.1196,0.816666667,0.095,0.38888888899999996,0.0,0.8,0.5,0.245,0.215,632,-2.899815348,4.032863735,0.999688804
mollys chicken,6,0.156923077,0.15,0.52,0.642916667,0.154,0.043333332999999995,0.027999999999999997,1.014,0.34920634899999997,0.0462,0.05,0.038,0.166666667,0.0,0.9,0.0,0.1325,0.0525,356,-0.031542356,4.165965063,0.911876675
mom dills harlequin salad,3,0.127692308,0.05,0.033333333,0.21833333300000002,0.058857143,0.054333333,0.14,0.06,0.317460317,0.0592,0.133333333,0.023,0.111111111,0.0,0.05,0.0,0.055,0.115,151,-1.697281796,3.857600135,0.9986246790000001
mom moaks chicken noodle soup,1,0.14,0.15,0.17,0.44458333299999997,0.270857143,0.147,0.196,0.354,0.28571428600000004,0.8414,0.533333333,0.158,0.111111111,0.0,0.45,0.5,0.16,0.18,329,-3.032458332,4.378012496,0.559924958
mommys surprise,4,0.403076923,0.6,0.286666667,0.37708333299999997,0.09828571400000001,0.093333333,0.076,0.55,0.095238095,0.0932,0.283333333,0.32899999999999996,0.222222222,0.0,0.55,0.0,0.1,0.1425,460,-5.8181413829999995,4.3949229469999995,0.8762224820000001
moms beef and beer,8,0.6215384620000001,0.75,0.5,0.047083333,0.193714286,0.070666667,0.07200000000000001,0.938,0.063492063,0.024,0.1,0.053,0.333333333,0.0,0.65,0.5,0.1375,0.15,671,-3.50892462,4.435395571,0.9962282920000001
moms beef shish kabobs,8,0.44,0.3,0.196666667,1.173333333,0.251714286,0.052666667,0.14400000000000002,0.524,0.222222222,0.2326,1.6333333330000002,0.040999999999999995,0.222222222,0.0,0.6,0.5,0.1425,0.13,418,-7.952720955,4.540581422,0.951721261
moms big burgers,4,0.7230769229999999,0.9,0.63,0.51625,0.295714286,0.113,0.284,1.1420000000000001,0.158730159,0.2246,0.333333333,0.278,0.38888888899999996,0.0,1.1,0.5,0.21,0.355,785,-7.032131415,4.0108443639999996,0.9999998959999999
moms chicken,6,0.661538462,0.6,0.71,0.48625,0.17171428600000002,0.08466666699999999,0.024,1.064,0.53968254,0.0942,0.1,0.05,0.166666667,0.0,1.45,0.5,0.15,0.045,713,-5.090335596,4.449989016,0.9998931609999999
