,recipename,labels,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrates,Sugars,Protein,Dietary Fiber,Vitamin A,Vitamin C,Calcium,Potassium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Carb_std,Protein_std,VitA_std,VitC_std,Calcium_std,Iron_std,Thiamin_std,Niacin_std,VitB6_std,Magnesium_std,Folate_std,Potassium_std,Dietary Fiber_std,Total Fat_std,Saturated Fat_std,Cholesterol_std,Sodium_std,Sugars_std,Carb_BI,Protein_BI,VitA_BI,VitC_BI,Calcium_BI,Iron_BI,Thiamin_BI,Niacin_BI,VitB6_BI,Magnesium_BI,Folate_BI,Potassium_BI,Dietary Fiber_BI,Total Fat_BI,Saturated Fat_BI,Cholesterol_BI,Sodium_BI,Sugars_BI,BI_combine
1127,china lake barbequed steak,4,39.199999995,12.0,55.9999998,1236.0,10.0000002,2.000000016,17.3,2.1,369.0,21.0,44.0,556.9999995000001,1.000000008,0.0,9.0,0.0,32.0,24.0,513,44.83430888888889,77.56335282651072,1654.3859649122808,94.15204678362572,197.270955165692,4.483430835087719,0.0,40.35087719298245,0.0,143.46978557504872,107.60233918128654,2497.270952923977,9.415204678362574,175.75048730701752,53.80116959064327,251.0721238596491,5541.520467836258,8.966861670175438,0.7472384814814815,11.634502923976608,1.0339912280701755,5.0,0.7587344429449692,0.8302649694606888,0.0,5.0,0.0,1.793372319688109,0.672514619883041,3.5675299327485384,1.8830409356725148,0,0,0.8154646023391815,0.0,3.5766886237816764,36.49787847770781
1128,chinese almond chicken stir fry,4,44.99999998,12.0,48.0,805.9999992,17.8000002,5.0000000085,14.5,4.700000000000001,1290.0,20.00000004,110.0,780.9999995000001,1.999999998,0.0,10.0,0.0,83.0,56.0,579,70.70811823834197,57.5993091537133,5124.352331606217,79.44732312953367,436.96027633851463,7.944732289119171,0.0,39.72366148531952,0.0,329.70639032815194,222.4525043177893,3102.4179600172715,18.670120898100176,178.7564766044905,47.66839378238342,190.67357512953367,3201.72711253886,19.861830776424867,1.1784686373056994,8.639896373056995,3.202720207253886,5.0,1.6806164474558254,1.471246720207254,0.0,5.0,0.0,4.121329879101899,1.3903281519861832,4.4320256571675305,3.734024179620035,0,0,1.8221070811744389,0.0,1.847328448186529,41.69798470134184
1129,chinese five spice spare ribs,4,87.89999998000002,31.0,270.9999999,1093.9999992,17.3000001,10.000000017,60.60000000000001,1.2,385.0,7.00000002,129.0,997.9999995000002,5.000000003999999,1.0000000005,27.0,1.0,65.0,26.0,1169,34.03763920444825,119.23011120615914,757.4850299401197,13.77245512917023,253.80667236954662,9.837467929170229,1.967493585243798,53.122326775021385,1.9674935842600512,127.88708297690334,51.15483319076133,1963.5585961077848,2.3609923011120615,172.94268601710868,60.99230111206159,533.1907611377245,2152.4379796065014,19.6749358760479,0.5672939867408041,15.0,0.4734281437125748,1.1477045940975192,0.9761795091136409,1.821753320216709,5.0,5.0,3.9349871685201023,1.5985885372112918,0.3197177074422583,2.8050837087254066,0.4721984602224123,0,0,0.0,0.5157542091531222,1.8769943053892222,41.50968365054507
1130,chinese garlic chicken,4,35.800000015,11.0,118.99999980000001,1411.9999991999996,13.7000001,1.000000008,36.8,1.5,388.0,11.00000004,60.0,601.000001,1.999999998,0.0,20.0,1.0,44.0,27.0,591,53.31641324873096,143.21489001692046,1509.983079526227,42.80879880203045,233.502538071066,7.783417927918782,0.0,77.834179357022,3.8917089678510997,171.2351945854484,105.0761421319797,2338.9170935702195,5.837563451776649,139.323181107445,42.8087986463621,463.1133663959391,5495.093059492384,3.8917089989847713,0.8886068874788493,15.0,0.9437394247038919,3.567399900169204,0.8980866848887153,1.44137369035533,0.0,5.0,5.0,2.140439932318105,0.656725888324873,3.341310133671742,1.16751269035533,0,0,0.0,0.0,4.38226841285956,44.42746364512559
1131,chinese mabo tofu,4,42.700000005,14.0,67.9999998,1642.9999992,14.200000199999998,5.0000000085,24.2,2.5,479.0,10.00000002,269.0,710.9999995000001,3.000000006,0.0,10.0,0.0,72.0,49.0,581,56.213425920826154,95.80034423407916,1896.2134251290877,39.58691918416523,1064.8881239242685,11.87607575524957,0.0,39.58691910499139,0.0,285.02581755593803,193.97590361445782,2814.6299463855426,9.896729776247847,169.03614459810672,55.42168674698795,269.1910491222031,6504.130805783132,19.793459586144575,0.9368904320137693,14.370051635111874,1.1851333907056798,3.2989099320137694,4.095723553554879,2.1992732880091794,0.0,5.0,0.0,3.5628227194492257,1.2123493975903614,4.020899923407918,1.9793459552495694,0,0,0.5134825146299486,0.0,1.8581810180722895,43.71958124517851
1132,chinese pepper round steak,4,32.89999999,11.0,87.00000000000001,889.9999991999998,25.1000001,6.0000000165000005,26.099999999999998,2.4,796.0,75.0,40.0,846.000001,3.000000006,0.0,13.0,1.0,46.0,53.0,558,103.45878177419355,107.5806451612903,3281.0035842293905,309.13978494623655,164.87455197132616,12.365591422580644,0.0,53.58422939068101,4.121863799283154,189.6057347670251,218.45878136200716,3487.096778315412,9.89247311827957,135.60931895519712,45.340501792114694,358.6021505376345,3668.4587780645156,24.731182863709677,1.7243130295698925,15.0,2.0506272401433687,5.0,0.6341328921974083,2.2899243375149343,0.0,5.0,5.0,2.370071684587814,1.3653673835125446,4.981566826164874,1.978494623655914,0,0,0.0,0.0,1.0744154184587815,48.468913435805526
1133,chinese pepper steak,4,40.69999999,12.0,99.9999999,978.0,22.900000199999997,10.9999999935,28.0,2.7,854.0,39.0,44.0,962.0000004999999,3.999999996,0.0,13.0,1.0,54.0,41.0,626,84.13738092651757,102.87539936102236,3137.699680511182,143.29073482428115,161.66134185303514,14.696485608306709,0.0,47.763578274760384,3.6741214057507987,198.40255591054313,150.63897763578277,3534.5047941693288,9.920127795527156,149.5367411773163,44.08945686900958,367.4121402076678,3593.290734824281,40.415335439376996,1.4022896821086261,15.0,1.961062300319489,5.0,0.6217743917424429,2.7215714089456866,0.0,5.0,5.0,2.480031948881789,0.9414936102236422,5.0,1.9840255591054312,0,0,0.0,0.0,0.0,47.112248901327106
1134,chinese pie,4,38.400000015,13.0,82.9999998,934.0000008,63.1000002,10.000000017,22.2,5.7,509.0,26.000000040000003,72.0,1179.9999994999998,1.999999998,0.0,13.0,1.0,77.0,111.0,726,199.90358190082645,70.3305785123967,1612.534435261708,82.3691461322314,228.09917355371903,6.336088147933884,0.0,41.184573002754824,3.1680440771349865,243.93939393939394,351.65289256198344,3738.292009435261,18.05785123966942,121.65289260950414,41.184573002754824,262.94765776859504,2958.9531705785125,31.68044082520661,3.331726365013774,10.549586776859506,1.0078340220385675,5.0,0.8773045136681501,1.1733496570247934,0.0,5.0,5.0,3.0492424242424243,2.1978305785123964,5.0,3.611570247933884,0,0,0.6175390371900827,0.0,0.0,45.798444585293495
1135,chinese pork chops,9,31.599999989999997,11.0,78.9999999,1240.9999991999996,17.1,10.000000017,21.5,1.2,365.0,9.0,35.0,625.0000015,1.000000008,1.0000000005,13.0,1.0,37.0,19.0,496,79.29435483870968,99.6975806451613,1692.5403225806451,41.733870967741936,162.2983870967742,4.637096811290323,4.637096776512097,60.28225806451613,4.637096774193548,171.5725806451613,88.10483870967742,2898.185490826613,5.564516129032258,146.53225801814514,51.00806451612903,366.3306446975807,5754.637093064514,46.37096782076613,1.3215725806451615,14.954637096774196,1.057837701612903,3.477822580645161,0.6242245657568238,0.85872163172043,5.0,5.0,5.0,2.144657258064516,0.5506552419354839,4.140264986895162,1.1129032258064515,0,0,0.0,0.0,0.0,45.24329686985627
1136,chinese pork tenderloin,9,30.800000009999998,11.0,129.0,379.0000008,10.9000002,4.0000000005,37.699999999999996,1.3,366.0,7.00000002,34.0,909.0000010000001,1.999999998,1.0000000005,19.0,1.0,52.0,18.0,536,46.77238891791045,161.77238805970148,1570.5223880597016,30.037313518656717,145.8955223880597,8.582089543656718,4.291044778264926,81.52985074626865,4.291044776119403,223.13432835820896,77.23880597014926,3900.5597057835826,5.5783582089552235,132.16417914738804,47.201492537313435,553.544776119403,1626.3059735820896,17.164179106623134,0.7795398152985076,15.0,0.9815764925373136,2.50310945988806,0.5611366245694603,1.5892758414179107,5.0,5.0,5.0,2.789179104477612,0.48274253731343286,5.0,1.1156716417910446,0,0,0.0,1.6118625550373133,2.275527125932836,49.689621198263495
1137,chinese restaurant style sesame chicken,4,33.499999974999994,10.0,129.9999999,625.0000008,30.2000001,10.000000017,45.699999999999996,3.8000000000000003,2640.0,24.0,158.0,1105.0000009999999,3.999999996,0.0,33.0,1.0,109.0,74.0,666,104.29429463963963,157.8228228228228,9117.117117117117,82.88288288288288,545.6456456456457,13.8138138,0.0,113.96396396396396,3.4534534534534536,376.4264264264264,255.55555555555554,3816.066069519519,13.123123123123124,115.69069060435433,34.53453453453454,448.94894860360364,2158.408411171171,34.534534593243244,1.7382382439939938,15.0,5.0,5.0,2.098637098637099,2.5581136666666664,0.0,5.0,5.0,4.70533033033033,1.597222222222222,5.0,2.6246246246246248,0,0,0.0,0.5033158100600607,0.0,55.82548199653499
