recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob
alices sour cream chicken breasts,0.32,0.6,0.366666667,0.107083333,0.127142857,0.014666667,0,0.638,0,0.1198,0.033333333,0.169,0.055555556,0,1,0.5,0.115,0.0375,351,-2.772246891,4.219819176,0.984012478
alishas scalloped potatoes and ham,0.316923077,0.5,0.196666667,0.348333333,0.319142857,0.128666667,0.188,0.348,0.095238095,0.0656,1.033333333,0.109,0.111111111,0.666666667,0.4,0.5,0.155,0.095,407,-5.794244828,4.243058847,0.764608465
all american meatloaf,0.316923077,0.45,0.446666667,0.247916667,0.113714286,0.041,0.056,0.53,0.126984127,0.1002,0.083333333,0.151,0.166666667,0,0.5,0,0.1025,0.065,344,-3.369911709,4.452752375,0.627833184
all day venison pot roast,0.121538462,0.15,0.536666667,0.434583333,0.253142857,0.065333333,0.132,0.94,0.19047619,1.7022,0.133333333,0.07,0.444444444,0,0.6,0.5,0.1375,0.085,343,0.965031364,4.070565188,0.636948602
all protein meatloaf,0.390769231,0.5,0.406666667,0.464583333,0.094857143,0.01,0.044,0.37,0.031746032,0.1698,0.05,0.028,0.111111111,0,0.4,0,0.0575,0.04,316,-5.979979391,4.514654252,0.833237621
all star veggie burger,0.072307692,0.05,0,0.141666667,0.061714286,0.079333333,0.156,0.166,0,0.0196,0.1,0.2,0.222222222,0,0.1,0,0.135,0.1225,161,-0.292723181,4.491795005,0.999686218
all white meat meatloaf,0.255384615,0.25,0.346666667,0.599583333,0.104285714,0.097666667,0.044,0.492,0.285714286,0.0334,0.016666667,0.055,0.166666667,0,0.6,0,0.08,0.1025,369,-4.377966459,3.990151757,0.945803211
alla checca,0.472307692,0.25,0.283333333,0.032083333,0.170857143,0.231333333,0.256,0.31,0.126984127,0.3246,0.35,0.075,0.277777778,0.666666667,0.4,0,0.185,0.5675,610,-3.498409915,4.297340192,0.518900303
allisons trout,0.364615385,0.6,0.76,0.125833333,0.262857143,0.01,0.02,0.79,0.031746032,0.1354,0.016666667,0.046,0.055555556,0,0.7,0.5,0.1875,0.045,390,-2.540423052,4.13065799,0.98843214
almond chicken casserole ii,0.341538462,0.25,0.15,0.160833333,0.062,0.123666667,0.048,0.314,0.063492063,0.0632,0.05,0.038,0.222222222,0,0.55,0.5,0.095,0.215,413,-2.922970149,4.377037104,0.570710953
almond crusted chicken with tomato citrus sauce,0.655384615,0.45,0.3,0.074166667,0.209714286,0.055,0.216,0.698,0.19047619,0.1934,0.466666667,0.115,0.166666667,0,1.1,0.5,0.315,0.1075,577,-2.233302259,4.471477921,0.595709089
almond crusted tilapia,0.344615385,0.5,0.496666667,0.24625,0.276285714,0.03,0.076,0.938,0.031746032,0.5858,0.833333333,0.349,0.166666667,0,0.5,0.5,0.25,0.18,424,-1.202974637,4.420163056,0.95022985
almond orange crusted chicken with fennel arugula salad,0.289230769,0.1,0.216666667,0.1625,0.162857143,0.057,0.16,0.622,0.158730159,0.122,0.516666667,0.121,0.111111111,0,0.85,0.5,0.24,0.1575,362,1.031445807,4.085910357,0.919123117
almost authentic caesar salad,0.287692308,0.25,0.056666667,0.400416667,0.058571429,0.048666667,0.084,0.116,0.031746032,0.6832,0.35,0.118,0.111111111,0,0.1,0,0.0425,0.26,243,-4.536299083,4.018573926,0.759805901
almost white castle hamburgers,0.095384615,0.1,0.086666667,0.117916667,0.029142857,0.054666667,0.028,0.166,0.063492063,0.0024,0,0.059,0.111111111,0,0.2,0,0.03,0.0825,155,-0.770701679,4.190440543,0.563604725
aloha chicken,0.366153846,0.35,0.47,0.948333333,0.169428571,0.091333333,0.036,0.794,0.761904762,0.1416,0.2,0.047,0.166666667,0,0.9,0.5,0.1425,0.05,485,-6.346414708,4.595844641,0.997648117
aloo gobi,0.112307692,0.05,0,0.17,0.142,0.059333333,0.148,0.056,0.063492063,0.029,0.65,0.032,0.055555556,0,0.1,0,0.0725,0.105,141,-1.162863353,4.354734385,0.999901906
aloo matar,0.223076923,0.1,0,0.374166667,0.4,0.272333333,0.388,0.18,0.317460317,0.3006,0.666666667,0.061,0.166666667,0,0.4,0.5,0.2325,0.165,487,-4.229948795,4.494278249,0.999995463
aloo phujia,0.216923077,0.1,0,0.247083333,0.202,0.085666667,0.16,0.066,0.126984127,0.143,0.566666667,0.03,0.055555556,0,0.1,0,0.095,0.0875,235,-2.62991134,4.317485613,0.999991203
